Source,Target,Weight,edges_1,edges_2,edges_3,edges_4,edges_5,edges_6,edges_7
44,54,81,3,21,21,24,9,0,3
0,67,88,6,2,2,7,24,27,20
0,58,122,14,8,8,8,47,30,7
61,55,2,2,0,0,0,0,0,0
51,9,356,25,22,37,48,115,42,67
44,36,45,3,20,0,10,8,4,0
9,12,24,3,0,9,5,3,4,0
44,61,9,4,5,0,0,0,0,0
45,13,3,2,0,0,0,1,0,0
45,9,44,12,1,8,10,4,3,6
44,33,9,5,0,0,0,4,0,0
33,44,8,8,0,0,0,0,0,0
0,61,32,7,13,3,7,2,0,0
61,45,2,2,0,0,0,0,0,0
45,8,9,1,0,1,7,0,0,0
9,51,383,14,24,60,72,90,77,46
51,28,13,3,4,0,0,0,0,6
55,56,57,10,6,7,12,9,13,0
56,44,278,8,23,30,68,85,29,35
56,64,3,3,0,0,0,0,0,0
56,55,53,7,4,12,13,11,0,6
44,64,16,5,3,1,1,2,1,3
44,45,89,13,12,11,5,28,15,5
21,11,8,2,0,5,0,0,1,0
9,21,20,1,9,3,4,0,3,0
64,45,6,1,0,0,1,0,4,0
45,64,5,1,0,0,4,0,0,0
64,51,32,8,5,11,8,0,0,0
0,64,55,4,8,10,1,18,5,9
64,44,21,2,5,5,8,1,0,0
51,71,3,3,0,0,0,0,0,0
51,11,195,6,0,59,28,53,20,29
10,41,20,3,2,5,0,10,0,0
8,41,10,5,0,4,0,0,0,1
8,60,14,5,0,0,0,6,1,2
60,44,217,37,39,29,55,27,20,10
12,60,50,2,5,5,8,6,12,12
12,33,5,5,0,0,0,0,0,0
33,12,3,3,0,0,0,0,0,0
12,51,89,10,11,18,14,10,20,6
60,51,291,28,31,46,41,46,72,27
60,12,42,2,12,3,7,6,7,5
36,21,22,4,9,9,0,0,0,0
51,10,173,18,10,19,26,39,26,35
10,60,272,36,2,19,39,26,89,61
44,67,37,2,0,0,5,10,15,5
67,0,78,3,5,0,14,9,27,20
49,51,57,3,0,41,7,3,0,3
21,43,11,1,4,6,0,0,0,0
43,21,10,5,2,0,0,3,0,0
56,70,2,1,0,1,0,0,0,0
56,12,36,2,7,3,1,12,11,0
12,72,4,1,0,0,0,3,0,0
12,59,2,2,0,0,0,0,0,0
12,36,13,5,0,0,0,3,0,5
72,21,4,3,0,1,0,0,0,0
42,47,7,2,1,2,1,1,0,0
42,72,2,2,0,0,0,0,0,0
59,51,21,1,1,7,3,5,4,0
59,3,19,5,0,0,12,2,0,0
0,70,31,2,4,0,12,6,0,7
67,3,2,2,0,0,0,0,0,0
3,46,10,3,0,0,0,2,0,5
67,12,3,3,0,0,0,0,0,0
46,36,4,1,0,2,0,1,0,0
46,59,5,2,0,0,0,3,0,0
58,51,32,2,0,6,4,14,6,0
58,3,13,3,0,0,5,5,0,0
51,60,129,14,3,20,14,20,37,21
33,60,7,7,0,0,0,0,0,0
70,0,20,3,4,0,5,2,6,0
3,51,355,20,25,105,49,114,26,16
9,10,198,13,7,3,11,44,82,38
9,5,4,4,0,0,0,0,0,0
55,3,62,19,2,23,8,8,2,0
56,60,41,9,0,7,2,19,4,0
44,60,192,24,21,28,30,20,55,14
3,54,13,4,0,3,4,2,0,0
44,24,33,3,3,3,7,16,1,0
51,64,29,13,1,6,2,2,0,5
3,5,7,7,0,0,0,0,0,0
5,60,3,3,0,0,0,0,0,0
60,5,1,1,0,0,0,0,0,0
44,5,11,11,0,0,0,0,0,0
0,5,9,9,0,0,0,0,0,0
51,5,4,4,0,0,0,0,0,0
5,51,3,3,0,0,0,0,0,0
5,44,10,10,0,0,0,0,0,0
4,44,30,3,3,14,7,3,0,0
42,56,106,3,5,7,33,42,6,10
56,42,82,4,11,0,24,30,9,4
44,43,139,1,13,7,43,43,22,10
43,41,18,2,3,3,0,4,4,2
41,42,23,2,6,6,6,1,0,2
42,41,42,4,4,8,12,6,0,8
4,42,13,3,0,0,10,0,0,0
10,64,9,1,0,5,0,0,2,1
64,3,8,3,2,0,1,0,2,0
41,12,10,4,0,3,3,0,0,0
41,43,24,2,14,3,0,4,1,0
5,11,1,1,0,0,0,0,0,0
60,8,15,3,0,2,3,4,2,1
22,0,127,2,0,0,21,18,17,69
0,49,163,2,2,82,51,5,0,21
10,51,268,7,1,29,64,42,51,74
21,37,10,8,0,2,0,0,0,0
21,36,18,4,5,9,0,0,0,0
43,60,2,2,0,0,0,0,0,0
51,45,131,13,8,7,22,75,1,5
9,45,35,6,0,5,0,13,4,7
55,51,198,17,18,21,20,40,57,25
5,50,2,2,0,0,0,0,0,0
5,9,3,3,0,0,0,0,0,0
10,28,2,1,0,0,0,0,1,0
28,60,2,2,0,0,0,0,0,0
28,5,3,3,0,0,0,0,0,0
44,59,26,6,0,2,1,15,2,0
51,36,34,4,13,10,6,1,0,0
44,21,18,3,7,6,2,0,0,0
21,45,6,3,0,3,0,0,0,0
21,60,5,4,1,0,0,0,0,0
60,10,288,14,6,28,60,19,81,80
42,60,6,2,0,0,0,4,0,0
55,60,102,12,2,21,7,9,48,3
55,37,9,7,0,0,0,0,2,0
53,47,5,5,0,0,0,0,0,0
45,53,11,5,0,5,0,1,0,0
45,54,12,6,0,6,0,0,0,0
56,51,213,14,16,15,54,67,19,28
54,0,34,2,7,5,0,8,4,8
0,71,7,2,0,0,0,5,0,0
33,45,7,7,0,0,0,0,0,0
54,42,2,2,0,0,0,0,0,0
36,43,19,2,6,0,5,6,0,0
33,51,8,8,0,0,0,0,0,0
5,24,1,1,0,0,0,0,0,0
5,3,3,3,0,0,0,0,0,0
48,0,21,7,1,0,12,0,0,1
24,51,60,2,0,13,16,16,11,2
18,44,168,5,2,26,49,52,15,19
18,51,125,6,0,8,27,57,5,22
18,60,41,7,2,9,3,12,8,0
11,3,65,6,7,19,6,13,8,6
51,39,36,3,3,3,18,8,0,1
39,51,38,9,0,2,19,8,0,0
6,3,14,10,0,0,0,4,0,0
6,44,9,5,0,0,0,4,0,0
6,0,16,13,0,0,0,3,0,0
44,6,9,7,0,0,0,0,0,2
0,48,29,8,0,0,20,0,0,1
0,6,15,13,0,0,0,2,0,0
39,48,6,2,0,0,4,0,0,0
27,55,6,1,0,0,2,2,1,0
27,44,25,2,0,3,18,0,1,1
6,51,7,2,0,0,0,3,0,2
44,13,16,2,7,3,0,0,4,0
55,13,3,3,0,0,0,0,0,0
13,48,10,4,0,0,6,0,0,0
48,55,2,2,0,0,0,0,0,0
6,65,2,2,0,0,0,0,0,0
65,6,2,2,0,0,0,0,0,0
3,48,12,2,0,0,8,0,0,2
3,6,2,2,0,0,0,0,0,0
12,55,28,3,11,2,3,5,4,0
12,9,49,3,9,3,9,15,9,1
51,6,7,7,0,0,0,0,0,0
9,48,22,4,7,0,11,0,0,0
48,6,7,7,0,0,0,0,0,0
6,12,2,2,0,0,0,0,0,0
36,59,23,2,5,4,3,2,0,7
59,44,29,2,5,3,2,15,2,0
3,65,64,2,17,1,18,10,15,1
55,24,43,8,3,32,0,0,0,0
24,55,29,3,3,14,3,2,4,0
55,65,3,3,0,0,0,0,0,0
65,55,2,2,0,0,0,0,0,0
65,24,12,3,0,1,0,4,4,0
65,51,14,6,0,0,2,0,4,2
11,51,272,15,5,89,40,98,4,21
11,65,9,4,3,2,0,0,0,0
0,73,7,7,0,0,0,0,0,0
3,73,8,8,0,0,0,0,0,0
73,0,4,4,0,0,0,0,0,0
73,51,9,6,0,0,0,3,0,0
51,73,6,3,0,0,0,3,0,0
51,18,119,4,0,5,34,47,13,16
73,24,5,5,0,0,0,0,0,0
18,73,7,7,0,0,0,0,0,0
73,18,1,1,0,0,0,0,0,0
18,24,20,9,0,0,2,7,2,0
73,11,2,2,0,0,0,0,0,0
73,3,7,7,0,0,0,0,0,0
11,73,3,3,0,0,0,0,0,0
3,74,5,3,0,0,0,2,0,0
24,74,8,4,0,0,0,4,0,0
51,24,34,4,0,0,10,20,0,0
51,65,14,2,3,0,0,9,0,0
73,74,3,3,0,0,0,0,0,0
0,75,28,8,0,0,0,20,0,0
75,0,33,9,0,0,0,20,0,4
0,74,5,2,0,0,0,2,0,1
75,74,18,13,0,0,0,5,0,0
74,73,5,5,0,0,0,0,0,0
73,75,5,5,0,0,0,0,0,0
74,75,7,1,0,0,0,6,0,0
74,0,7,7,0,0,0,0,0,0
3,75,24,8,0,0,0,16,0,0
51,1,80,3,8,0,4,22,7,36
60,75,4,4,0,0,0,0,0,0
44,74,8,8,0,0,0,0,0,0
74,1,10,10,0,0,0,0,0,0
75,60,3,3,0,0,0,0,0,0
74,10,7,7,0,0,0,0,0,0
1,60,110,1,0,0,8,27,39,35
63,0,9,1,1,0,0,7,0,0
63,51,5,2,0,0,3,0,0,0
51,56,90,2,13,9,32,10,11,13
44,70,11,2,0,0,1,8,0,0
10,75,14,7,0,0,0,4,3,0
60,74,5,5,0,0,0,0,0,0
64,60,25,5,7,0,5,0,5,3
4,1,12,2,3,0,4,3,0,0
1,51,173,4,4,1,7,44,22,91
44,46,11,1,0,0,0,5,0,5
8,45,5,3,0,0,0,0,0,2
61,44,2,1,1,0,0,0,0,0
51,62,15,2,2,0,5,3,3,0
62,21,2,2,0,0,0,0,0,0
62,51,6,3,1,0,0,0,2,0
62,44,10,4,0,0,0,0,6,0
51,21,15,5,0,6,0,3,0,1
0,62,25,1,6,0,2,4,3,9
62,33,3,3,0,0,0,0,0,0
62,60,14,4,0,0,0,0,10,0
39,60,2,2,0,0,0,0,0,0
39,1,6,3,0,3,0,0,0,0
60,1,87,1,0,0,4,8,26,48
1,33,5,5,0,0,0,0,0,0
33,1,15,8,0,0,0,4,3,0
33,28,1,1,0,0,0,0,0,0
28,33,1,1,0,0,0,0,0,0
0,76,16,1,3,0,5,0,7,0
10,42,33,2,3,0,13,4,4,7
10,47,3,3,0,0,0,0,0,0
42,13,5,2,0,3,0,0,0,0
13,51,23,1,7,11,4,0,0,0
1,27,17,1,0,0,7,2,6,1
33,55,1,1,0,0,0,0,0,0
55,10,63,2,8,7,2,7,32,5
9,13,7,1,1,1,0,0,4,0
13,0,75,1,18,27,18,3,8,0
1,36,26,4,11,0,8,0,3,0
36,52,5,1,0,0,0,4,0,0
36,13,2,2,0,0,0,0,0,0
0,13,95,1,20,30,11,9,24,0
1,3,24,7,0,5,0,0,4,8
24,10,23,3,5,0,2,2,11,0
24,13,5,5,0,0,0,0,0,0
13,36,3,3,0,0,0,0,0,0
36,44,86,2,39,14,13,15,3,0
37,55,9,5,0,0,0,1,3,0
36,10,55,15,2,3,5,15,9,6
55,59,11,3,0,3,0,5,0,0
41,51,31,2,2,9,9,3,0,6
10,37,3,2,0,0,1,0,0,0
44,27,6,3,0,0,0,0,3,0
51,54,32,3,9,5,10,4,1,0
54,44,26,1,0,12,5,1,0,7
44,8,58,2,16,8,6,11,9,6
40,56,65,1,7,0,4,17,22,14
56,4,45,1,0,0,30,10,0,4
7,56,10,4,0,0,0,0,0,6
