Source,Target,Weight,edges_1,edges_2,edges_3,edges_4,edges_5,edges_6,edges_7
51,73,8,6,0,0,0,2,0,0
73,18,10,10,0,0,0,0,0,0
73,24,7,7,0,0,0,0,0,0
73,11,2,2,0,0,0,0,0,0
74,73,13,13,0,0,0,0,0,0
74,24,29,4,0,0,0,7,0,18
51,24,78,4,0,12,14,35,11,2
75,3,39,1,0,0,0,38,0,0
75,0,54,23,0,0,0,31,0,0
74,0,13,8,0,0,0,4,0,1
74,75,13,6,0,0,0,7,0,0
75,73,1,1,0,0,0,0,0,0
60,1,188,3,0,2,9,34,57,83
75,60,8,8,0,0,0,0,0,0
74,44,4,4,0,0,0,0,0,0
74,1,15,15,0,0,0,0,0,0
74,60,8,8,0,0,0,0,0,0
74,10,8,5,0,0,0,3,0,0
63,0,25,1,5,0,4,15,0,0
70,44,10,2,0,0,0,8,0,0
9,64,9,2,0,0,7,0,0,0
51,1,179,4,13,1,7,58,15,81
46,44,5,1,0,0,3,0,0,1
51,62,21,5,3,0,5,3,5,0
0,62,51,2,13,0,10,8,12,6
21,62,4,2,0,0,0,0,2,0
44,62,14,4,6,2,0,1,1,0
12,62,19,2,0,0,0,7,4,6
33,62,3,3,0,0,0,0,0,0
10,39,14,1,0,0,5,4,2,2
39,60,2,2,0,0,0,0,0,0
39,1,12,3,0,6,3,0,0,0
33,1,8,7,0,0,0,1,0,0
28,33,2,2,0,0,0,0,0,0
0,76,19,1,3,10,0,0,5,0
42,33,1,1,0,0,0,0,0,0
47,33,2,2,0,0,0,0,0,0
42,13,7,2,0,4,0,0,1,0
27,1,28,1,0,0,13,4,7,3
10,55,131,3,22,6,9,8,72,11
1,18,35,1,0,0,2,21,4,7
13,36,3,3,0,0,0,0,0,0
55,52,10,4,0,6,0,0,0,0
10,36,42,14,3,3,8,9,3,2
12,41,7,1,0,3,3,0,0,0
10,37,4,2,0,0,2,0,0,0
27,44,23,3,0,0,12,0,7,1
40,56,129,1,15,0,8,38,42,25
7,56,18,4,0,0,14,0,0,0
77,0,608,0,270,0,189,75,47,27
0,78,251,0,231,0,0,20,0,0
30,78,2,0,2,0,0,0,0,0
79,78,3,0,3,0,0,0,0,0
30,36,2,0,2,0,0,0,0,0
30,77,3,0,3,0,0,0,0,0
0,25,17,0,1,0,0,0,4,12
